input,target
Slide: Decision trees – overfitting issue,1. Why are decision trees prone to overfitting?
,2. How does tree depth affect complexity?
,3. What pruning strategies help reduce overfitting in trees?
Slide: Ensemble learning – idea of combining models,1. What is ensemble learning?
,2. Why does combining multiple models improve performance?
,3. What is the intuition behind “wisdom of the crowd” in ensembles?
Slide: Bagging – bootstrap aggregating,1. How does bagging create multiple training sets?
,2. Why does averaging predictions reduce variance?
,3. How does bootstrapping strengthen weak learners?
Slide: Random forests – multiple decision trees,1. How do random forests build diverse decision trees?
,2. Why does random feature selection improve performance?
,3. What advantage does a forest have over a single decision tree?
Slide: Boosting – intuition and purpose,1. What problem does boosting aim to solve compared to single weak learners?
,2. Why does boosting focus more on difficult examples during training?
,3. How does combining weak learners produce a strong classifier?
Slide: AdaBoost – core mechanism,1. How does AdaBoost adjust weights of misclassified examples?
,2. Why are weak learners trained sequentially in AdaBoost?
,3. What determines the contribution of each weak learner in the final model?
Slide: AdaBoost – error and alpha,1. What is the significance of weighted error in AdaBoost?
,2. Why is the alpha value larger for more accurate weak learners?
,3. How is the final prediction computed using alphas?
Slide: SVM – idea of maximum margin,1. What does the SVM try to maximize when separating classes?
,2. Why does a larger margin often lead to better generalization?
,3. What are support vectors and why are they important?
Slide: SVM – decision boundary,1. How does the SVM choose the optimal decision boundary?
,2. Why are only support vectors relevant for the final model?
,3. What geometric intuition is used for margin maximization?
Slide: Kernel trick – motivation,1. Why do some datasets require transforming input features for better separation?
,2. How does the kernel trick allow high-dimensional mapping without explicit computation?
,3. What kinds of kernels are commonly used?
Slide: RBF kernel – intuition,1. Why does the RBF kernel measure similarity using distance?
,2. How does the gamma parameter affect the kernel’s behavior?
,3. In what scenario does the RBF kernel perform well?
Slide: Neural networks – perceptron model,1. What components form a perceptron model according to the slide?
,2. How does the perceptron compute its output from inputs?
,3. What role does the activation function play?
Slide: Neural networks – multi-layer perceptron,1. How do multiple hidden layers increase the expressive power of a neural network?
,2. Why does adding hidden units allow modeling complex patterns?
,3. What distinguishes deep networks from shallow networks?
"Slide: Activation functions – sigmoid, tanh, ReLU",1. What purpose do activation functions serve in neural networks?
,2. Why is ReLU often preferred over sigmoid or tanh?
,3. How do activation functions introduce non-linearity?
Slide: Forward propagation – basic concept,1. How does information flow through layers during forward propagation?
,2. What is computed at each neuron during this process?
,3. How do weights and biases affect the output?
Slide: Loss functions for neural networks,1. Why does training a neural network require a loss function?
,2. What types of loss functions are used for classification vs regression?
,3. How does minimizing loss relate to improving predictions?
Slide: Backpropagation – purpose,1. What is the main goal of backpropagation in neural networks?
,2. How are gradients computed during backpropagation?
,3. Why is the chain rule essential for backprop?
Slide: Backpropagation – gradient flow,1. How does backpropagation move gradients from output layer to input layer?
,2. Why are partial derivatives important for weight updates?
,3. What problem occurs when gradients become too small or too large
Slide: Vanishing gradient problem,1. What causes gradients to vanish in deep networks?
, 2. Why does vanishing gradient slow down or stop learning?
, 3. Which activation functions help reduce this problem?
Slide: Overfitting in neural networks,1. Why are neural networks especially prone to overfitting?
,2. How does high model capacity contribute to overfitting?
,3. What role does training data size play?
"Slide: Regularization – L2, dropout",1. How does L2 regularization help control overfitting?
,2. Why does dropout randomly disable neurons during training?
,3. How does dropout improve generalization?
Slide: Early stopping – avoiding overfitting,1. Why does early stopping monitor validation performance?
,2. How does stopping training early prevent overfitting?
,3. What signals indicate it’s time to stop training?
Slide: Convolution – basic idea,1. What is a convolution operation in the context of CNNs?
,2. Why does convolution detect patterns like edges or textures?
,3. How does sliding a filter across an image produce feature maps?
Slide: CNN filters – intuition,1. What do learned filters in CNNs represent?
,2. Why do different filters detect different visual patterns?
,3. How do filters evolve during training?
Slide: Pooling – max and average pooling,1. Why is pooling used in convolutional neural networks?
,2. How does max pooling differ from average pooling?
,3. What effect does pooling have on spatial dimensions?
Slide: CNN architecture – layers overview,1. What role do convolutional layers play in CNN architectures?
,2. Why are pooling layers interleaved between convolution layers?
,3. How does flattening transition into fully connected layers?
Slide: Recurrent neural networks – sequence modeling,1. Why are RNNs suited for sequential data?
,2. How does hidden state allow RNNs to remember previous information?
,3. What types of tasks commonly use RNNs?
Slide: RNN recurrence relation,1. How does the recurrence relation define the hidden state in an RNN?
,2. Why is sharing weights across time steps useful?
,3. What limitation does simple RNN suffer from?
Slide: Vanishing gradients in RNNs,1. Why do RNNs experience severe vanishing gradient issues?
,2. How does sequence length contribute to this problem?
,3. Why does vanishing gradient hinder long-term memory?
Slide: LSTM – motivation,1. Why were LSTMs introduced to replace simple RNNs?
,2. Which problems do LSTMs address in sequence learning?
,3. Why are LSTMs better for long-range dependencies?
Slide: LSTM architecture – gates overview,"1. What purpose do the gates in LSTM (input, forget, output) serve?"
,2. How does the forget gate control memory flow?
,3. Why does the cell state enable long-term memory retention?
Slide: LSTM cell – internal computation,1. How is the candidate cell state computed inside an LSTM?
,2. Why are sigmoid and tanh both used within LSTM operations?
,3. How does the LSTM update its hidden state?
Slide: Autoencoders – core idea,1. What is the purpose of an autoencoder?
,2. How does the encoder compress information into a latent representation?
,3. Why does the decoder reconstruct the input from the latent code?
Slide: Denoising autoencoders,1. Why do denoising autoencoders intentionally corrupt input data?
,2. How does reconstructing clean data improve robustness?
,3. What types of noise can be used during training?
Slide: Variational autoencoders (VAE) – intuition,1. How does a VAE differ from a standard autoencoder?
,2. Why does VAE model the latent space probabilistically?
,3. What meaningful structure does VAE learn in the latent space?
Slide: VAE – KL divergence and reconstruction loss,1. Why does a VAE include both reconstruction loss and KL divergence in its objective?
,2. What does KL divergence measure between two distributions?
,3. Why does balancing these losses create a meaningful latent space?
Slide: VAE – sampling and generation,1. How does sampling from the latent space allow a VAE to generate new data?
,2. Why is a smooth latent space important for meaningful interpolation?
,3. What types of applications commonly use VAEs for generation?
Slide: GANs – motivation,1. Why were GANs introduced as an alternative to autoencoders and VAEs?
,2. What kind of data do GANs typically generate?
,3. How does adversarial training improve generation quality?
Slide: GAN architecture – generator and discriminator,1. What is the role of the generator in a GAN?
,2. How does the discriminator help guide the generator’s learning?
,3. Why is the interaction between the two networks described as adversarial?
Slide: GAN training – min-max objective,1. What is the min-max optimization problem that GANs solve?
,2. Why does the generator try to fool the discriminator?
,3. What happens when the discriminator becomes too strong?
Slide: GAN issues – mode collapse,1. What is mode collapse in GAN training?
,2. Why does the generator produce limited diversity in mode collapse?
,3. What strategies can help reduce mode collapse?
Slide: GAN applications – examples,1. What are common applications of GANs in computer vision?
,2. Why are GANs suitable for style transfer or image-to-image tasks?
,3. How do GANs contribute to creative AI applications?
Slide: Optimization challenges in deep learning,1. Why are deep models harder to optimize than shallow ones?
,2. How do non-convex loss surfaces affect optimization?
,3. What issues arise from saddle points or flat regions?
Slide: Learning rate scheduling,1. Why is adjusting the learning rate during training beneficial?
,2. What is the purpose of learning rate decay?
,3. How do warm restarts or cyclic learning rates help optimization?
Slide: Batch normalization – motivation,1. What problem does batch normalization aim to solve?
,2. How does batch norm stabilize the distribution of activations?
,3. Why does batch norm often speed up training?
Slide: Batch normalization – effects,1. How does batch normalization reduce internal covariate shift?
,2. Why does batch norm act as a form of regularization?
,3. What improvements does batch norm bring to deep networks?
Slide: Dropout – concept revisited,1. Why does dropout randomly deactivate neurons during training?
,2. How does dropout prevent co-adaptation between neurons?
,3. What happens during inference when dropout is disabled?
Slide: Weight initialization – importance,1. Why is proper weight initialization crucial for deep learning?
,2. How can poor initialization hurt gradient flow?
,3. What initialization methods are commonly used?
Slide: Xavier and He initialization,1. What problem does Xavier initialization attempt to solve?
,2. Why is He initialization preferred for ReLU networks?
,3. How do these methods maintain stable variance?
Slide: RNN vs LSTM comparison,1. What limitations do basic RNNs have that LSTMs overcome?
,2. How do gating mechanisms improve memory handling in LSTMs?
,3. Why are LSTMs preferred for long-sequence modeling?
Slide: GRU – simplified gated architecture,1. How does a GRU differ from an LSTM in terms of gate structure?
,2. Why is the GRU considered computationally simpler?
,3. What tasks are GRUs commonly used for?
Slide: Attention mechanism – core intuition,1. Why does attention focus on the most relevant parts of an input sequence?
,2. How does attention improve long-range dependency modeling?
,3. What advantage does attention have over RNNs?
"Slide: Self-attention – key, query, value","1. What roles do key, query, and value vectors play in self-attention?"
,2. How is attention weight computed between tokens?
,3. Why does self-attention allow parallel computation?
Slide: Transformers – architecture overview,1. What makes transformers different from RNN-based architectures?
,2. Why do transformers rely heavily on self-attention mechanisms?
,3. How does positional encoding preserve sequence order?
Slide: Positional encoding – purpose,1. Why do transformers require positional encodings?
,2. How do sinusoidal encodings represent relative positions?
,3. Why is position information necessary in self-attention?
Slide: Multi-head attention,1. Why do transformers use multiple attention heads?
,2. How does each head capture different relationships?
,3. What benefit does concatenating multiple heads provide?
Slide: Feed-forward network in transformers,1. What role does the feed-forward layer play after attention?
,2. Why is it applied to each token independently?
,3. How does it increase the model’s expressive capacity?
Slide: Encoder–decoder transformer structure,1. How do encoder layers transform the input sequence?
,2. What role do decoder layers play during generation?
,3. Why does cross-attention connect encoder outputs to decoder inputs?
Slide: Training transformers – teacher forcing,1. What is teacher forcing in transformer training?
,2. Why does feeding ground-truth tokens improve training stability?
,3. What issues can occur if teacher forcing is not used?
Slide: Masked attention,1. Why is masking necessary in decoder self-attention?
,2. How does masking prevent information leakage from future tokens?
,3. Why is masking not required in the encoder?
Slide: Pre-training and fine-tuning paradigm,1. Why do modern ML models rely on pre-training followed by fine-tuning?
,2. How does pre-training on large corpora improve downstream performance?
,3. Why is fine-tuning efficient compared to training from scratch?
Slide: Transfer learning – concept,1. What is transfer learning in machine learning?
,2. Why does transferring knowledge reduce training requirements?
,3. What types of tasks benefit most from transfer learning?
Slide: Large models and scaling laws,1. How does model performance scale with more parameters?
,2. Why does more data often unlock additional model capacity?
,3. What limitations arise when scaling models indefinitely?
Slide: Ethics in machine learning – fairness,1. Why is fairness an important consideration in ML systems?
,2. How can biased training data lead to unfair outcomes?
,3. What methods help detect or reduce bias?
Slide: Responsible AI – transparency and interpretability,1. Why do ML systems require transparency for trust?
,2. How does interpretability help stakeholders understand model decisions?
,3. Why is black-box behavior a challenge in real-world deployment?
Slide: Model evaluation – train/validation/test split,"1. Why do we divide data into separate train, validation, and test sets?"
,2. How does the validation set help in choosing hyperparameters?
,3. Why must the test set remain untouched during model development?
Slide: Hyperparameters vs parameters,1. What distinguishes hyperparameters from model parameters?
,2. Why must hyperparameters be tuned externally rather than learned?
,3. What are examples of common hyperparameters in ML models?
Slide: Hyperparameter tuning – grid search,1. What is grid search and how does it explore hyperparameter space?
,2. Why can grid search become computationally expensive?
,3. For what types of problems is grid search still useful?
Slide: Hyperparameter tuning – random search,1. How does random search differ from grid search?
,2. Why does random search often find good hyperparameters faster?
,3. What advantage does random sampling give in high-dimensional spaces?
Slide: Cross-validation – k-fold,1. What problem does k-fold cross-validation solve?
,2. How does splitting data into k folds improve reliability of evaluation?
,3. Why is cross-validation useful for small datasets?
Slide: Bias in evaluation – data leakage,1. What is data leakage in machine learning?
,2. Why does leakage cause overly optimistic evaluation results?
,3. What are common sources of data leakage?
Slide: Feature engineering – motivation,1. Why is feature engineering important for classical ML models?
,2. How can good features improve model performance more than complex algorithms?
,3. What challenges arise from manual feature design?
Slide: Feature scaling – normalization and standardization,1. Why do many ML algorithms require scaled features?
,2. What is the difference between normalization and standardization?
,3. How does scaling help gradient-based optimization?
Slide: One-hot encoding – categorical variables,1. Why can’t categorical variables be fed directly into most ML models?
,2. How does one-hot encoding represent categories numerically?
,3. What drawback does high-cardinality encoding introduce?
Slide: Regularization – motivation,1. Why do models with many parameters require regularization?
,2. How does regularization help reduce overfitting?
,3. What is the trade-off introduced by regularization?
,
Slide: L1 vs L2 regularization,1. How does L1 regularization encourage sparsity in models?
,2. Why does L2 regularization shrink weights smoothly rather than eliminating them?
,3. How do these two techniques influence model complexity?
Slide: Ensemble methods – boosting vs bagging,1. How does bagging reduce variance compared to boosting?
,2. Why does boosting focus sequentially on hard-to-classify examples?
,3. What types of errors do bagging and boosting each address?
Slide: Gradient boosting – idea,1. What is the main intuition behind gradient boosting?
,2. Why does each model in gradient boosting correct the errors of the previous model?
,3. What types of base learners are commonly used?
Slide: XGBoost – improvements over basic boosting,1. What enhancements make XGBoost faster than traditional boosting?
,2. Why does XGBoost include regularization in its objective function?
,3. What role does parallelization play in XGBoost performance?
Slide: LightGBM – leaf-wise growth,1. How does LightGBM differ structurally from XGBoost?
,2. Why does leaf-wise tree growth accelerate learning?
,3. What is a potential downside of aggressive leaf-wise splitting?
Slide: CatBoost – handling categorical features,1. Why is CatBoost well-suited for datasets with many categorical variables?
,2. How does CatBoost reduce prediction shift and overfitting?
,3. Why does ordered boosting help stabilize training?
Slide: Parameter initialization – impact on convergence,1. Why does improper weight initialization slow down convergence?
,2. How does initialization affect the magnitude of activations?
,3. Why does good initialization help avoid vanishing/exploding gradients?
Slide: Optimization – momentum,1. How does momentum accelerate gradient descent?
,2. Why does momentum help reduce oscillations in narrow valleys?
,3. What is the role of the momentum coefficient?
Slide: Optimization – RMSProp,1. How does RMSProp adapt learning rates for each parameter?
,2. Why does RMSProp help with noisy gradients?
,3. What is the purpose of the moving average in RMSProp?
Slide: Optimization – Adam,1. How does Adam combine momentum and RMSProp?
,2. Why is Adam widely used for training deep networks?
,3. What effect do Adam’s adaptive learning rates have on convergence?
Slide: Learning dynamics – loss curves,1. How do training and validation loss curves reveal overfitting?
,2. Why does divergence between curves indicate poor generalization?
,3. What does steadily decreasing training loss but increasing validation loss mean?
Slide: Early stopping signals,1. When does early stopping detect that further training is harmful?
,2. Why is patience an important hyperparameter for early stopping?
,3. How does early stopping save computational resources?
Slide: Data augmentation – purpose,1. Why is data augmentation useful for improving generalization?
,2. How does augmentation synthetically increase dataset size?
,3. What types of transformations are commonly applied in augmentation?
Slide: CNN augmentation techniques,1. How do flips or rotations affect CNN learning robustness?
,2. Why does random cropping improve spatial invariance?
,3. What risk occurs if augmentations distort semantics too much?
Slide: Transfer learning – fine-tuning pre-trained CNNs,1. Why does transfer learning reduce required training data?
,2. Why are early layers of CNNs often kept frozen during fine-tuning?
,3. When is full network fine-tuning preferred?
Slide: Domain adaptation – concept,1. What problem does domain adaptation attempt to solve?
,2. Why do models trained on one domain perform poorly on another?
,3. What techniques align source and target distributions?
Slide: Explainability – saliency maps,1. How do saliency maps help interpret CNN decisions?
,2. Why is gradient information useful for understanding feature importance?
,3. What limitations do saliency maps have?
Slide: SHAP values – model interpretability,1. What do SHAP values represent in terms of feature contribution?
,2. Why do SHAP values help improve transparency in ML models?
,3. For what types of models are SHAP explanations commonly used?
Slide: Model deployment – challenges,1. Why is deploying ML models in production often difficult?
,2. How do hardware constraints impact deployment?
,3. What challenges arise from model drift over time?
Slide: Model serving – batch vs real-time inference,1. What distinguishes batch inference from real-time inference?
,2. Why is latency a major constraint for real-time model serving?
,3. What types of applications typically require real-time predictions?
Slide: Model monitoring – drift detection,1. Why must deployed ML models be monitored for drift?
,2. How does data drift differ from concept drift?
,3. What signals indicate that a model may need retraining?
Slide: Data pipelines – preprocessing,1. Why are data preprocessing pipelines important in ML systems?
,2. How do pipelines help maintain consistency between training and inference?
,3. What preprocessing steps commonly appear in ML pipelines?
Slide: Feature store – purpose,1. What is the purpose of a feature store in production ML workflows?
,2. Why is maintaining consistent feature definitions important?
,3. How does a feature store enable feature reuse across models?
Slide: Online vs offline features,1. What is the difference between online and offline feature computation?
,2. Why must online features be generated with low latency?
,3. What risks arise if online features do not match training features?
Slide: Data versioning – need for reproducibility,1. Why is data versioning critical for ML experiments?
,2. How does version control help diagnose performance regressions?
,3. Why must training datasets be immutable once a model is deployed?
Slide: ML experiment tracking – metrics and artifacts,1. Why do ML teams track experiments with metrics and artifacts?
,2. What types of artifacts typically need to be stored?
,3. How does experiment tracking support reproducibility?
Slide: Evaluation metrics – precision and recall,1. Why can accuracy be misleading for imbalanced datasets?
,2. How does precision measure the correctness of positive predictions?
,3. Why does recall measure the ability to detect all positive cases?
Slide: F1 score – harmonic mean,1. Why is the F1 score defined as the harmonic mean of precision and recall?
,2. What scenario makes F1 a more reliable metric than accuracy?
,3. How does F1 balance the trade-off between precision and recall?
Slide: ROC and AUC – concept,1. What does the ROC curve plot?
,2. Why is AUC used as a threshold-independent measure?
,3. What indicates a poor classifier on an ROC curve?
Slide: Confusion matrix – interpretation,1. What four types of outcomes does a confusion matrix represent?
,2. How does the confusion matrix help diagnose classification errors?
,3. Why is it important for evaluating imbalanced classes?
Slide: Multi-class classification – one-vs-rest,1. How does the one-vs-rest strategy handle multi-class problems?
,2. Why does it require training multiple binary classifiers?
,3. What limitation does one-vs-rest have with highly overlapping classes?
Slide: Multi-class classification – softmax output,1. Why do neural networks use softmax for multi-class predictions?
,2. How does softmax convert logits into probability distributions?
,3. Why must probabilities sum to 1?
Slide: Class imbalance – oversampling,1. How does oversampling help address class imbalance?
,2. Why can naive oversampling lead to overfitting?
,3. What methods generate synthetic examples to balance classes?
Slide: Class imbalance – undersampling,1. What risk does undersampling pose for majority classes?
,2. Why can undersampling improve training time?
,3. In what scenario is undersampling preferred?
Slide: Cost-sensitive learning,1. How does cost-sensitive learning assign different penalties to different types of errors?
,2. Why is this approach useful for rare but critical classes?
,3. What applications commonly use cost-sensitive models?
Slide: Imbalanced metrics – precision–recall curves,1. Why do PR curves give better insight than ROC curves for imbalanced datasets?
,2. What does the area under a PR curve represent?
,3. Why does high recall with low precision indicate many false positives?
Slide: Clustering evaluation – silhouette score,1. Why is clustering evaluation harder without labels?
,2. What does the silhouette score measure?
,3. Why does a higher silhouette score indicate well-separated clusters?
Slide: Clustering evaluation – inertia,1. What does inertia represent in k-means clustering?
